#Transcript_ID	GFF_annotation	HHPred_annotation
Smp_000020.1	Beta-N-acetylglucosaminidase	Protein O-GlcNAcase (E.C.3.2.1.169)
Smp_089640.1	2Fe-2S ferredoxin-type iron-sulfur binding domain	QUINOL-FUMARATE REDUCTASE FLAVOPROTEIN SUBUNIT A
Smp_089650.1	TMEM101 protein	TMEM101 
Smp_089650.2	NA	TMEM101 
Smp_089670.1	EGF-like domain	Complement C5, Eculizumab heavy chain
Smp_089700.1	EGF-like domain	integrin, cell adhesion, plasma membrane
Smp_089860.1	Histone H3/CENP-A	Histone H3 {Chicken (Gallus gallus), erythrocytes [TaxId: 9031]}
Smp_089870.1	Histone H2A	Histone H2A {Chicken (Gallus gallus), erythrocytes [TaxId: 9031]}
Smp_089880.1	FAD dependent oxidoreductase	FAD dependent oxidoreductase
Smp_089930.1	EF-hand domain	PP2A A alpha subunit (9-589)
Smp_090010.1	Molybdopterin cofactor biosynthesis C (MoaC) domain	Molybdenum cofactor biosynthesis protein C, MoaC {Escherichia coli [TaxId: 562]}
Smp_090030.1	Armadillo-like helical	Puf-A
Smp_090070.1	WD40 repeat	Protein HIRA
Smp_090080.1	Serpin family	Serpin, putative
Smp_090090.1	Serpin family	Protein C inhibitor {Human (Homo sapiens) [TaxId: 9606]}
Smp_090100.1	Peptidase M8, leishmanolysin	Leishmanolysin {Leishmania major [TaxId: 5664]}
Smp_090110.1	Peptidase M8, leishmanolysin	Leishmanolysin {Leishmania major [TaxId: 5664]}
Smp_090120.1	Tubulin	Tubulin gamma chain, Spindle pole
Smp_090140.1	NA	NA
Smp_090150.1	Endosulphine	Endosulfine 
Smp_090230.1	Ribosomal protein L13, eukaryotic/archaeal	Specialised ribosome, Drosophila melanogaster, Testis
Smp_090240.1	JNK/Rab-associated protein-1, N-terminal	Jnk-SapK_ap_N 
Smp_090440.1	Helicase, C-terminal	Probable ATP-dependent RNA helicase DDX48 {Human (Homo sapiens) [TaxId: 9606]}
Smp_090450.1	Fibronectin type III	Kelch domain-containing protein 2, PRO-PRO-PRO-MET-ALA-GLY-GLY
Smp_090690.1	tRNA(Ile)-lysidine/2-thiocytidine synthase, N-terminal	[4Fe-4S]-dependent U34-ARNt thiolase
Smp_090800.1	Peptidase M24	Xaa-Pro dipeptidase (E.C.3.4.13.9)
Smp_090805.1	Sterile alpha motif domain	Sphingomyelin synthase 1, SMS1 {Mouse (Mus musculus) [TaxId: 10090]}
Smp_090860.1	Tetratricopeptide repeat 1	Serine/threonine protein phosphatase 5, PP5 {Human (Homo sapiens) [TaxId: 9606]}
Smp_090890.1	Protein kinase domain	Proto-oncogene serine/threonine-protein kinase Pim-1 {Human (Homo sapiens) [TaxId: 9606]}
Smp_090920.1	Ribosomal protein S14	Ribosomal protein S14 {Escherichia coli [TaxId: 562]}
Smp_090930.1	NA	NA
Smp_090980.1	Protein kinase domain	Cell division protein kinase 7, CDK7 {Human (Homo sapiens) [TaxId: 9606]}
Smp_091000.1	Transmembrane protein 151	TMEM151 
Smp_091010.1	Metallo-beta-lactamase	Glyoxalase II (hydroxyacylglutathione hydrolase) {Human (Homo sapiens) [TaxId: 9606]}
Smp_091170.1	Ribosomal protein L36	Ribosomal protein L2, 50S ribosomal
Smp_091190.1	Peptidase C78, ubiquitin fold modifier-specific peptidase 1/ 2	Zinc finger with UFM1-specific peptidase
Smp_091190.2	Peptidase C78, ubiquitin fold modifier-specific peptidase 1/ 2	Zinc finger with UFM1-specific peptidase
Smp_091210.1	NA	NA
Smp_091230.1	Ubiquitin-fold modifier 1	Hypothetical protein 1810045k17 {Mouse (Mus musculus) [TaxId: 10090]}
Smp_091240.1	Porin, eukaryotic type	VOLTAGE-DEPENDENT ANION-SELECTIVE CHANNEL PROTEIN 1
Smp_091360.1	WIBG, Mago-binding	Pym (Within the bgcn gene intron protein, WIBG), N-terminal domain {Fruit fly (Drosophila melanogaster) [TaxId: 7227]}
Smp_091380.1	Centriole, cilia and spindle-associated protein	CCSAP 
Smp_091390.1	Btz domain	Btz 
Smp_091460.1	Glutamine synthetase, catalytic domain	complex, LIGASE
Smp_091470.1	Peptidase M1, alanine aminopeptidase/leukotriene A4 hydrolase	Alanyl aminopeptidase N, ALA-ALA-ALA-LYS-ALA, ALA-ALA-LYS
Smp_091480.1	Chromosome segregation protein Spc25, C-terminal	Kinetochore protein NDC80, Kinetochore protein
Smp_091640.1	Ribosomal protein S24e	TRANSLATION INITIATION FACTOR EIF-1A FAMILY
Smp_091640.2	Ribosomal protein S24e	TRANSLATION INITIATION FACTOR EIF-1A FAMILY
Smp_091650.1	P-type ATPase	P4B ATPase lipid flippase, TRANSLOCASE
Smp_091730.1	Phox homology	Sorting nexin grd19 {Baker's yeast (Saccharomyces cerevisiae) [TaxId: 4932]}
Smp_091740.1	Trafficking protein particle complex subunit 2	GEFs, Golgi, Rab1, TRAPPIII complex
Smp_091740.2	Trafficking protein particle complex subunit 2	GEFs, Golgi, Rab1, TRAPPIII complex
Smp_091750.1	NA	NA
Smp_091790.1	NA	NA
Smp_091820.1	Bestrophin	Bestrophin-1, Fab antibody fragment, light
Smp_091840.1	Bestrophin	Bestrophin-1, Fab antibody fragment, light
Smp_091850.1	Glucosamine-6-phosphate isomerase	Glucosamine 6-phosphate deaminase/isomerase NagB {Human (Homo sapiens) [TaxId: 9606]}
Smp_091950.1	G protein-coupled receptor, rhodopsin-like	7TM_GPCR_Srw 
Smp_091990.1	Histone deacetylase family	HISTONE DEACETYLASE 8
Smp_092020.1	NA	NA
Smp_092020.2	NA	NA
Smp_092020.3	NA	NA
Smp_092150.1	NA	NA
Smp_092170.1	CID domain	Regulation of nuclear pre-mRNA domain-containing
Smp_092180.1	RPA-interacting protein	RPA_interact_C 
Smp_092280.1	Proteasome alpha-subunit, N-terminal domain	Proteasome alpha subunit (non-catalytic) {Cow (Bos taurus) [TaxId: 9913]}
Smp_092320.1	Occludin homology domain	Pol II, Super elongation complex
Smp_092380.1	Pre-mRNA-splicing factor BUD31	G10 
Smp_092490.1	NADH	NAD-quinone oxidoreductase chain 6, Nqo6 {Thermus thermophilus [TaxId: 274]}
Smp_092500.1	Thioredoxin domain-containing protein 17-like domain	Putative 42-9-9 protein (thioredoxin containing protein Txnl5) {Human (Homo sapiens) [TaxId: 9606]}
Smp_092530.1	Clathrin/coatomer adaptor, adaptin-like, N-terminal	Adaptin alpha C subunit N-terminal fragment {Mouse (Mus musculus) [TaxId: 10090]}
Smp_092570.1	NADH	NADH dehydrogenase [ubiquinone] flavoprotein 1
Smp_092580.1	Guanine nucleotide binding protein (G-protein), alpha subunit	G-protein alpha subunit Galpha7
Smp_092750.1	Nucleoside diphosphate kinase	Nucleoside diphosphate kinase, NDK {Thale cress (Arabidopsis thaliana), chloroplast NDK2 [TaxId: 3702]}
Smp_092770.1	Clathrin/coatomer adaptor, adaptin-like, N-terminal	ADP-RIBOSYLATION FACTOR 1, COATOMER SUBUNIT
Smp_092780.1	snRNA-activating protein complex, subunit 3	SNAPC3 
Smp_092810.1	TMEM33/Pom33 family	TMEM33_Pom33 
Smp_092850.1	SprT-like	SprT-like domain-containing protein Spartan/DNA Complex
Smp_092880.1	LIS1 homology motif	LIM domain-binding protein 1, Single-stranded
Smp_092930.1	NA	Putative uncharacterized protein, Zinc finger
Smp_092950.1	SUN domain	SUN domain-containing protein 2, Nesprin-4
Smp_093070.1	NA	NA
Smp_093100.1	RNA recognition motif domain	Splicing factor U2AF 23 kDa
Smp_093210.1	Epithelial sodium channel	Amiloride-sensitive sodium channel subunit alpha
Smp_093220.1	Ankyrin repeat	GPCR_chapero_1 
Smp_093230.1	Actin family	DYNEIN TAIL, DYNACTIN, ACTIN, CYTOPLASMIC
Smp_093280.1	Histone deacetylase family	METASTASIS-ASSOCIATED PROTEIN MTA1, HISTONE DEACETYLASE
Smp_093310.1	E2F/DP family, winged-helix DNA-binding domain	Cell cycle transcription factor E2F-4 {Human (Homo sapiens) [TaxId: 9606]}
Smp_093320.1	H/ACA ribonucleoprotein complex, subunit Nop10	H/aca ribonucleoprotein complex subunit 3 {Baker's yeast (Saccharomyces cerevisiae) [TaxId: 4932]}
Smp_093430.1	GYF domain	Hypothetical rotein At5g08430 {Thale cress (Arabidopsis thaliana) [TaxId: 3702]}
Smp_093430.2	GYF domain	Hypothetical rotein At5g08430 {Thale cress (Arabidopsis thaliana) [TaxId: 3702]}
Smp_093440.1	Ribosomal protein S5/S7	Ribosomal protein S7 {Archaeon Pyrococcus horikoshii [TaxId: 53953]}
Smp_093450.1	Tetratricopeptide-like helical domain superfamily	U3_assoc_6 
Smp_093540.1	Ser/Thr protein kinase, TGFB receptor	Type I TGF-beta receptor R4 {Human (Homo sapiens) [TaxId: 9606]}
Smp_093580.1	Helicase, C-terminal	RNA-binding motif protein, X-linked 2
Smp_093620.1	NA	NA
Smp_093630.1	Mitochondrial carrier protein	ADP,ATP carrier protein {Cow (Bos taurus), heart isoform t1 [TaxId: 9913]}
Smp_093690.1	ATP-dependent RNA helicase DEAD-box, conserved site	Small nuclear ribonucleoprotein Sm D1
Smp_093700.1	Cytochrome b5-like heme/steroid binding domain	Putative steroid binding protein AT2G24940 {Thale cress (Arabidopsis thaliana) [TaxId: 3702]}
Smp_093710.1	NA	DUF1422 
Smp_093720.1	Protein of unknown function DUF2452	DUF2452 
Smp_093740.1	FYVE zinc finger	CRYSTAL STRUCTURE OF THE VHS
Smp_093750.1	S1 domain	30S ribosomal protein S2, 30S
Smp_093780.1	Alkyl hydroperoxide reductase subunit C/ Thiol specific antioxidant	Alkyl hydroperoxide reductase AhpC {Salmonella typhimurium [TaxId: 90371]}
Smp_093790.1	NA	Claudin_3 
Smp_093800.1	Mitochondrial import inner membrane translocase subunit Tim21	TIM21 
Smp_093820.1	Glutamate/phenylalanine/leucine/valine/L-tryptophan dehydrogenase	Glutamate dehydrogenase 1, mitochondrial (E.C.1.4.1.3)
Smp_093830.1	Cold-shock protein, DNA-binding	Calcium-regulated heat stable protein 1
Smp_093840.1	NA	Mtp 
Smp_093850.1	RNA recognition motif domain	60S ribosomal protein L2-A, 60S
Smp_093920.1	Zinc finger C2H2-type	Cohesin subunit SA-2, Double-strand-break repair
Smp_093930.1	Receptor L-domain	Complex, Receptor Tyrosine Kinase, SIGNALING
Smp_093950.1	OTU domain	OTU domain-containing protein 5 (E.C.3.4.19.12)
Smp_093980.1	NA	NA
Smp_094020.1	ATP-dependent RNA helicase DEAD-box, conserved site	Ribosome production factor 1, 60S
Smp_094050.1	Peptidase M16, zinc-binding site	Mitochondrial-processing peptidase subunit beta, mitochondrial
Smp_094060.1	Phenylalanyl-tRNA synthetase, class IIc, beta subunit, archaeal/eukaryotic type	Phenylalanyl-tRNA synthetase alpha chain (E.C.6.1.1.20)
Smp_094140.1	MCM domain	DNA replication licensing factor Mcm2
Smp_094190.1	Protein kinase domain	3-phosphoinositide dependent protein kinase-1 Pdk1 {Human (Homo sapiens) [TaxId: 9606]}
Smp_094250.1	Protein kinase domain	3-phosphoinositide dependent protein kinase-1 Pdk1 {Human (Homo sapiens) [TaxId: 9606]}
Smp_094320.1	Zinc finger, CCCH-type	ATP dependent RNA helicase (Dob1)-like
Smp_094330.1	Phosphofurin acidic cluster sorting protein 1	Pacs-1 
Smp_094340.1	Yippee/Mis18/Cereblon	DNA damage-binding protein 1, Protein
Smp_094360.1	Zinc finger, PHD-type	Williams-Beuren syndrome transcription factor, WSTF {Human (Homo sapiens) [TaxId: 9606]}
Smp_094380.1	Forkhead-associated (FHA) domain	Nuclear corepressor KAP-1 (TIF-1beta) {Human (Homo sapiens) [TaxId: 9606]}
Smp_094390.1	Sodium/potassium/calcium exchanger	Uncharacterized membrane protein MJ0091
Smp_094420.1	Rab GDI protein	Rab escort protein 1 {Rat (Rattus norvegicus) [TaxId: 10116]}
Smp_094470.1	G-patch domain	zf-DBF 
Smp_094480.1	G-protein, beta subunit	beta1-subunit of the signal-transducing G protein heterotrimer {Cow (Bos taurus) [TaxId: 9913]}
Smp_094560.1	BTB/POZ domain	complex, MEMBRANE PROTEIN
Smp_094630.1	RNA recognition motif domain	Nuclear receptor coactivator 5 (KIAA1637) {Human (Homo sapiens) [TaxId: 9606]}
Smp_094640.1	Zinc finger C2H2-type	PR domain zinc finger protein
Smp_094760.1	Protein kinase domain	Cell division protein kinase 9, CDK9 {Human (Homo sapiens) [TaxId: 9606]}
Smp_094770.1	NA	DUF5575 
Smp_094810.1	RNA recognition motif domain	Pre-mRNA-processing-splicing factor 8, 116 kDa
Smp_094820.1	Vta1/Callose synthase, N-terminal domain superfamily	CHMP1B, LIP5, CHMP5
Smp_094870.1	NAD kinase	NADH kinase POS5 (E.C.2.7.1.86)
Smp_094880.1	Glycoside hydrolase, family 13, N-terminal	1,4-ALPHA-GLUCAN-BRANCHING ENZYME (E.C.2.4.1.18)
Smp_094890.1	Rho GTPase-activating protein domain	Beta-chimaerin, C-terminal domain {Human (Homo sapiens) [TaxId: 9606]}
Smp_094890.2	Rho GTPase-activating protein domain	Beta-chimaerin, C-terminal domain {Human (Homo sapiens) [TaxId: 9606]}
Smp_094920.1	Queuosine salvage protein family	Q_salvage 
Smp_094930.1	Zinc finger C2H2-type	Zinc finger protein 297b {Human (Homo sapiens) [TaxId: 9606]}
Smp_094950.1	Tetratricopeptide-like helical domain superfamily	O-GlcNAc transferase p110 subunit, OGT {Human (Homo sapiens) [TaxId: 9606]}
Smp_094980.1	NA	DUF6056 
Smp_095010.1	Major facilitator superfamily	Vesicular glutamate transporter 2
Smp_095130.1	Porphobilinogen deaminase	HYDROXYMETHYLBILANE SYNTHASE, 3-{2-[4-(2-CARBOXY-ETHYL)-3-CARBOXYMETHYL-5H-PYRROL-2-YLMETHYL]-4-CARBOXYMETHYL-5-METHYL-2H-PYRROL-3-YL}-PROPIONIC ACID
Smp_095140.1	THUMP domain-containing protein 1-like	THUMP domain, THUMP domain-containing protein
Smp_095150.1	Translational (tr)-type GTP-binding domain	40S ribosomal protein SA, 40S
Smp_095190.1	Bcl2-like	Apoptosis regulator Bcl-w {Human (Homo sapiens) [TaxId: 9606]}
Smp_095290.1	Zinc finger C2H2-type	Zinc finger protein 568/DNA Complex
Smp_095350.1	Zinc finger, CCCH-type	Butyrate response factor 2 (Tis11D) {Human (Homo sapiens) [TaxId: 9606]}
Smp_095360.1	Cytosolic fatty-acid binding	Fatty acid-binding protein Sm14 {Blood fluke (Schistosoma mansoni) [TaxId: 6183]}
Smp_095400.1	NA	PPS_PS 
Smp_095410.1	HAD-superfamily phosphatase, subfamily IIIC	Magnesium-dependent phosphatase-1,  Mdp1 {Mouse (Mus musculus) [TaxId: 10090]}
Smp_095470.1	MOB kinase activator family	Mob1a {Human (Homo sapiens) [TaxId: 9606]}
Smp_095480.1	Dynein light chain, type 1/2	Dynein light chain 1 (DLC1) {Fruit fly (Drosophila melanogaster) [TaxId: 7227]}
Smp_095520.1	Dynein light chain, type 1/2	Dynein light chain 1 (DLC1) {Fruit fly (Drosophila melanogaster) [TaxId: 7227]}
Smp_095580.1	Phospholipid/glycerol acyltransferase	Glycerol-3-phosphate (1)-acyltransferase {Cushaw squash (Cucurbita moschata) [TaxId: 3662]}
Smp_095630.1	Tetraspanin, animals	CD81 antigen
Smp_095650.1	Selenophosphate synthetase	Putative selenophosphate synthetase (E.C.2.7.9.3)
Smp_095670.1	Zinc finger, CCCH-type	Cleavage and polyadenylation specificity factor
Smp_095680.1	Matrin/U1-C, C2H2-type zinc finger	Pre-mRNA-processing-splicing factor 8, Thioredoxin-like protein
Smp_095810.1	Phosphoribosyltransferase-like	Uracil PRTase, Upp {Toxoplasma gondii [TaxId: 5811]}
Smp_095910.1	Signal recognition particle, SRP54 subunit, GTPase domain	Signal recognition particle 54 kDa
Smp_095920.1	Helicase, C-terminal	DEAD box RNA helicase rck/p54 {Human (Homo sapiens) [TaxId: 9606]}
Smp_095980.1	Superoxide dismutase, copper/zinc binding domain	Cu,Zn superoxide dismutase, SOD {Blood fluke (Schistosoma mansoni) [TaxId: 6183]}
Smp_096000.1	NA	CC2-LZ 
Smp_096010.1	Heat shock protein DnaJ, cysteine-rich domain	Chaperone protein DnaJ
Smp_096010.2	Heat shock protein DnaJ, cysteine-rich domain	Chaperone protein DnaJ
Smp_096020.1	Adenosylhomocysteinase-like	S-adenosylhomocystein hydrolase {Plasmodium falciparum, isolate 3D7 [TaxId: 5833]}
Smp_096050.1	NA	NA
Smp_096160.1	Small GTP-binding protein domain	ADP-ribosylation factor {Human (Homo sapiens), ARL8A [TaxId: 9606]}
Smp_096200.1	Aldolase-type TIM barrel	Putative flavin oxidoreducatase TM0096 {Thermotoga maritima [TaxId: 2336]}
Smp_096210.1	NA	NA
Smp_096240.1	Zinc finger, MYND-type	PROTEIN KINASE C-BINDING PROTEIN 1
Smp_096270.1	Aminoacyl-tRNA synthetase, class I, conserved site	VALYL-TRNA SYNTHETASE (E.C.6.1.1.9)/RNA COMPLEX
Smp_096290.1	Protein of unknown function DUF423	DUF423 
Smp_096310.1	PB1 domain	Pkb kinase (Akt-2) {Human (Homo sapiens) [TaxId: 9606]}
Smp_096320.1	BTB/POZ domain	S-phase kinase-associated protein 1, F-box/LRR-repeat
Smp_096360.1	AAA  ATPase domain	CLAMP LOADER, PROCESSIVITY CLAMP, DNA
Smp_096390.1	EF-hand domain	Calmodulin {Ciliate (Paramecium tetraurelia) [TaxId: 5888]}
Smp_096410.1	EF-hand domain	Calmodulin {Ciliate (Paramecium tetraurelia) [TaxId: 5888]}
Smp_096450.1	Elongation factor EFG, domain V-like	Pre-mRNA-splicing factor spp42, Pre-mRNA-splicing factor
Smp_096480.1	Gamma-aminobutyric acid A receptor/Glycine receptor alpha	glycine receptor, alpha2-beta hetero-pentamer, glycine
Smp_096520.1	Sugar phosphate transporter	Vesicular glutamate transporter 2
Smp_096640.1	Protein kinase domain	STE20-like serine/threonine-protein kinase, SLK {Human (Homo sapiens) [TaxId: 9606]}
Smp_096640.2	Protein kinase domain	STE20-like serine/threonine-protein kinase, SLK {Human (Homo sapiens) [TaxId: 9606]}
Smp_096720.1	WD repeat-containing protein 91	Ran-binding protein 9, Isoform 2
Smp_096750.1	Ribosomal protein S15	PROTEIN/RNA Complex
Smp_096760.1	Phosphoglycerate mutase 1	Phosphoglycerate mutase {Escherichia coli [TaxId: 562]}
Smp_096780.1	Gdt1 family	OFeT_1 
Smp_096790.1	NA	Taeniidae_ag 
Smp_096900.1	Protein-only RNase P, C-terminal	Mitochondrial ribonuclease P protein 3
Smp_096910.1	Glycosyl transferase, ALG6/ALG8	Alg6_Alg8 
Smp_096920.1	Forkhead-associated (FHA) domain	Phosphotyrosine binding domain of Rad53 {Baker's yeast (Saccharomyces cerevisiae) [TaxId: 4932]}
Smp_097020.1	Leucine-rich repeat	Protein prenyltransferase alpha subunit repeat-containing
Smp_097180.1	Pyrimidine 5'-nucleotidase, eukaryotic	Cytosolic 5'-nucleotidase III {Mouse (Mus musculus) [TaxId: 10090]}
Smp_097180.2	Pyrimidine 5'-nucleotidase, eukaryotic	Cytosolic 5'-nucleotidase III {Mouse (Mus musculus) [TaxId: 10090]}
Smp_097210.1	Nucleoporin p58/p45/NUP49	Nucleoporin_FG2 
Smp_097240.1	MEMO1 family	Metal binding protein, Breast Cancer
Smp_097280.1	NA	Mitochondrial genome maintenance exonuclease 1/DNA
Smp_097320.1	Pleckstrin homology domain	Src kinase-associated phosphoprotein SKAP55 (SCAP1) {Human (Homo sapiens) [TaxId: 9606]}
Smp_097370.1	Fructose-1,6-bisphosphatase class 1	Fructose-1,6-bisphosphatase {Pig (Sus scrofa) [TaxId: 9823]}
Smp_097380.1	GroES-like superfamily	Chaperonin-10 (GroES) {Thermus thermophilus [TaxId: 274]}
Smp_097460.1	Adenylyl cyclase class-3/4/guanylyl cyclase	Soluble guanylyl cyclase alpha-1 subunit
Smp_097490.1	Tubulin polymerization-promoting protein	solution NMR structure, Structural Genomics
Smp_097500.1	F-box domain	small G protein fold, Ubl
Smp_097560.1	Type 1 protein phosphatase inhibitor	PPI_Ypi1 
Smp_097590.1	Aminoacyl-tRNA synthetase, class I, conserved site	VALYL-TRNA SYNTHETASE (E.C.6.1.1.9)/RNA COMPLEX
Smp_097620.1	ESCRT-II complex, Vps25 subunit	Vacuolar-sorting protein SNF8, Vacuolar protein-sorting-associated
Smp_097660.1	Helicase, C-terminal	ATP-DEPENDENT RNA HELICASE EIF4A (E.C.3.6.1.-)
Smp_097700.1	Retinoid X receptor/HNF4	Retinoic acid receptor RXR-alpha, Peroxisome
Smp_097710.1	Tubulin binding cofactor C-like domain	Tubulin-specific chaperone C
Smp_097730.1	Transcription factor, MADS-box	Serum response factor (SRF) core {Human (Homo sapiens) [TaxId: 9606]}
Smp_097740.1	NA	DUF4866 
Smp_097750.1	Cold-shock protein, DNA-binding	Y-box protein 1 cold shock domain (YB1-CSD) {Human (Homo sapiens) [TaxId: 9606]}
Smp_097790.1	Golgin-45	NA
Smp_097790.2	Golgin-45	NA
Smp_097800.1	Cold-shock protein, DNA-binding	Y-box protein 1 cold shock domain (YB1-CSD) {Human (Homo sapiens) [TaxId: 9606]}
Smp_097810.1	OTU domain	Ubiquitin thiolesterase protein OTUB2 (Otubain-2) {Human (Homo sapiens) [TaxId: 9606]}
Smp_097820.1	Protein kinase domain	Casein kinase-1, CK1 {Fission yeast (Schizosaccharomyces pombe) [TaxId: 4896]}
Smp_097820.2	Protein kinase domain	Casein kinase-1, CK1 {Fission yeast (Schizosaccharomyces pombe) [TaxId: 4896]}
Smp_097830.1	SAC3/GANP/THP3	26S proteasome non-ATPase regulatory subunit
Smp_097830.2	SAC3/GANP/THP3, conserved domain	26S proteasome non-ATPase regulatory subunit
Smp_097830.3	SAC3/GANP/THP3	26S proteasome non-ATPase regulatory subunit
Smp_097930.1	Universal stress protein A family	Putative ethylene-responsive protein AT3g01520/F4P13_7 {Thale cress (Arabidopsis thaliana) [TaxId: 3702]}
Smp_097940.1	Protein kinase domain	Serine/threonine-protein kinase Nek2 {Human (Homo sapiens) [TaxId: 9606]}
Smp_097940.2	Protein kinase domain	Serine/threonine-protein kinase Nek2 {Human (Homo sapiens) [TaxId: 9606]}
Smp_098090.1	Transcriptional regulator TACO1-like	Protein yebC
Smp_098300.1	Zinc finger C2H2-type	Transcription factor sp1 {Human (Homo sapiens) [TaxId: 9606]}
Smp_098320.1	Inositol-tetrakisphosphate 1-kinase	Ins134_P3_kin_N 
Smp_098320.2	Inositol-tetrakisphosphate 1-kinase	Inositol-tetrakisphosphate 1-kinase (E.C.2.7.1.134, 2.7.1.159)
Smp_098330.1	Ribosomal protein L7Ae conserved site	Spliceosomal 15.5kd protein {Human (Homo sapiens) [TaxId: 9606]}
Smp_098340.1	Gamma-glutamyl cyclotransferase-like	UPF0131 protein ykqA
Smp_098420.1	NA	FtsL 
Smp_098450.1	Pumilio RNA-binding repeat	Puf-A
Smp_098550.1	B-box-type zinc finger	Transcription intermediary factor 1-beta (E.C.2.3.2.27)
Smp_098560.1	NA	CAAT/ENHANCER BINDING PROTEIN BETA/DNA COMPLEX
Smp_098570.1	Bile acid	TRANSPORTER
Smp_098650.1	Intra-flagellar transport protein 57	IFT57 
Smp_098650.2	Intra-flagellar transport protein 57	IFT57 
Smp_098740.1	Dpy-30 motif	Histone-lysine N-methyltransferase, H3 lysine-4 specific
Smp_098760.1	WD40 repeat	F-box-like/WD repeat-containing protein TBL1XR1
Smp_098840.1	Protein kinase domain	gamma-subunit of glycogen phosphorylase kinase (Phk) {Rabbit (Oryctolagus cuniculus) [TaxId: 9986]}
Smp_098850.1	Ribonuclease H-like superfamily	PAN2-PAN3 deadenylation complex catalytic subunit
Smp_098890.1	RNA recognition motif domain	RNA-binding protein UBP1 {Trypanosoma cruzi [TaxId: 5693]}
Smp_098890.2	RNA recognition motif domain	RNA-binding protein UBP1 {Trypanosoma cruzi [TaxId: 5693]}
