#Transcript_ID	GFF_annotation	HHsearch_annotation
Smp_000020.1	Beta-N-acetylglucosaminidase	Protein O-GlcNAcase (E.C.3.2.1.169,3.2.1.-)
Smp_127640.1	Protein of unknown function DUF4590	DUF4590 
Smp_127650.1	SCAMP	SCAMP 
Smp_127660.1	BLOC-1-related complex subunit 8	BORCS8 
Smp_127660.2	BLOC-1-related complex subunit 8	BORCS8 
Smp_127670.1	F-box domain	ANAPHASE-PROMOTING COMPLEX SUBUNIT 1, ANAPHASE-PROMOTING
Smp_127680.1	WD40 repeat	Rav1p_C 
Smp_127680.2	WD40 repeat	Rav1p_C 
Smp_127690.1	LysM domain	Membrane-bound lytic murein transclycosylase D, MltD {Escherichia coli [TaxId: 562]}
Smp_127700.1	Protein prenyltransferase, alpha subunit	Protein prenyltransferase alpha subunit repeat-containing
Smp_127700.2	Protein prenyltransferase, alpha subunit	PPTA 
Smp_127700.3	NA	PPTA 
Smp_127710.1	EGF-like domain	INTEGRIN ALPHA-V, INTEGRIN BETA-6
Smp_127740.1	NA	NA
Smp_127740.2	Peptidase M12B, ADAM/reprolysin	ADAM 22
Smp_127740.3	Peptidase M12B, ADAM/reprolysin	ADAM 22
Smp_127750.1	Kelch-type beta propeller	Galactose oxidase, central domain {Fungi (Fusarium sp.) [TaxId: 29916]}
Smp_127750.2	Kelch-type beta propeller	Maltose-binding periplasmic protein,V(D)J recombination-activating protein
Smp_127770.1	Ras-like guanine nucleotide exchange factor, N-terminal	Son of sevenless protein homolog 1 (sos-1) {Human (Homo sapiens) [TaxId: 9606]}
Smp_127770.2	IQ motif, EF-hand binding site	Son of sevenless protein homolog 1 (sos-1) {Human (Homo sapiens) [TaxId: 9606]}
Smp_127770.3	IQ motif, EF-hand binding site	Rho guanine nucleotide exchange factor 9, Collybistin {Rat (Rattus norvegicus) [TaxId: 10116]}
Smp_127810.1	Immunoglobulin subtype 2	Anti-HIV CODV-Fab Light chain, Anti-HIV
Smp_127810.2	Immunoglobulin subtype 2	Anti-HIV CODV-Fab Light chain, Anti-HIV
Smp_127820.1	Neurofascin/L1/NrCAM, C-terminal domain	Bravo_FIGEY 
Smp_127820.2	Neurofascin/L1/NrCAM, C-terminal domain	Bravo_FIGEY 
Smp_127830.1	Actin-related protein 2/3 complex subunit 2	ACTIN-RELATED PROTEIN 2/3 COMPLEX (PROTEINS
Smp_127830.2	Actin-related protein 2/3 complex subunit 2	ARPC2 (34 kDa subunit) {Cow (Bos taurus) [TaxId: 9913]}
Smp_127840.1	Peptidase S9, prolyl oligopeptidase, catalytic domain	Dipeptidyl peptidase 8 (E.C.3.4.14.5), SLRFLYEG
Smp_127840.2	Peptidase S9, prolyl oligopeptidase, catalytic domain	Dipeptidyl peptidase 8 (E.C.3.4.14.5), SLRFLYEG
Smp_127840.3	Peptidase S9, prolyl oligopeptidase, catalytic domain	Dipeptidyl peptidase 8 (E.C.3.4.14.5), SLRFLYEG
Smp_127860.1	G protein-coupled receptor, rhodopsin-like	Adenosine receptor A2a,Soluble cytochrome b562,Adenosine
Smp_127870.1	Immunoglobulin subtype 2	Interleukin-18, Anti-IL12 Anti-IL18 DFab Heavy
Smp_127870.2	Immunoglobulin subtype 2	Myelin-associated glycoprotein
Smp_127890.1	Phosphatidyl serine synthase	PSS 
Smp_127920.1	Protein kinase domain	3-phosphoinositide dependent protein kinase-1 Pdk1 {Human (Homo sapiens) [TaxId: 9606]}
Smp_127930.1	PMP-22/EMP/MP20/Claudin superfamily	L_HMGIC_fpl 
Smp_127940.1	Bicarbonate transporter, eukaryotic	Electrogenic sodium bicarbonate cotransporter 1
Smp_127990.1	NA	NA
Smp_127990.2	NA	NA
Smp_128000.1	High mobility group box domain	ARS-binding factor 2, mitochondrial/DNA Complex
Smp_128010.1	NA	NA
Smp_128040.1	NA	OB-fold domains of BRCA2 {Rat (Rattus norvegicus) [TaxId: 10116]}
Smp_128050.1	Importin-beta, N-terminal domain	GTP-BINDING NUCLEAR PROTEIN RAN, IMPORTIN
Smp_128060.1	Zinc finger C2H2-type	Zinc finger protein 297b {Human (Homo sapiens) [TaxId: 9606]}
Smp_128070.1	F-box domain	Transitional endoplasmic reticulum ATPase TER94
Smp_128070.2	F-box domain	F-box/WD repeat-containing protein 7, FBXW7 {Human (Homo sapiens) [TaxId: 9606]}
Smp_128110.1	Major intrinsic protein	Aquaporin-1 {Cow (Bos taurus) [TaxId: 9913]}
Smp_128120.1	Bromo adjacent homology (BAH) domain	RSC7, Chromatin structure-remodeling complex protein
Smp_128120.2	Bromo adjacent homology (BAH) domain	RSC7, Chromatin structure-remodeling complex protein
Smp_128120.3	NA	NA
Smp_128130.1	Phosphatidylinositol 3-/4-kinase, catalytic domain	Vacuolar protein sorting-associated protein 38
Smp_128150.1	Oxysterol-binding protein	KLLA0C04147p
Smp_128160.1	OB-fold nucleic acid binding domain, AA-tRNA synthetase-type	Conserved telomere capping protein 1
Smp_128170.1	NA	C-X-C chemokine receptor type 4
Smp_128190.1	P-loop containing nucleoside triphosphate hydrolase	AAA_35 
Smp_128190.2	P-loop containing nucleoside triphosphate hydrolase	AAA_35 
Smp_128200.1	Kinesin motor domain	Kinesin {Human (Homo sapiens) [TaxId: 9606]}
Smp_128210.1	Claspin	RPB1, DNA-directed RNA polymerase subunit
Smp_128210.2	Claspin	RPB1, DNA-directed RNA polymerase subunit
Smp_128220.1	EGF-like domain	Protein jagged-2
Smp_128230.1	EGF-like domain	Delta-like protein 4
Smp_128280.1	Domain of unknown function DUF2013	NCK-interacting protein with SH3 domain
Smp_128330.1	Ets domain	Fli-1 {Human (Homo sapiens) [TaxId: 9606]}
Smp_128330.2	Ets domain	Fli-1 {Human (Homo sapiens) [TaxId: 9606]}
Smp_128340.1	P-loop containing nucleoside triphosphate hydrolase	Sulfotransferase
Smp_128350.1	NA	NA
Smp_128350.2	Zinc finger C2H2-type	LYSINE-SPECIFIC HISTONE DEMETHYLASE 1A (E.C.1.-.-.-)
Smp_128350.3	Zinc finger C2H2-type	LYSINE-SPECIFIC HISTONE DEMETHYLASE 1A (E.C.1.-.-.-)
Smp_128360.1	Malic oxidoreductase	NAD-DEPENDENT MALIC ENZYME (E.C.1.1.1.38)
Smp_128370.1	Glutamate synthase, alpha subunit, C-terminal	FERREDOXIN-DEPENDENT GLUTAMATE SYNTHASE 2 (E.C.1.4.7.1)
Smp_128370.2	Glutamate synthase, alpha subunit, C-terminal	FERREDOXIN-DEPENDENT GLUTAMATE SYNTHASE 2 (E.C.1.4.7.1)
Smp_128370.3	Glutamate synthase, alpha subunit, C-terminal	FERREDOXIN-DEPENDENT GLUTAMATE SYNTHASE 2 (E.C.1.4.7.1)
Smp_128370.4	Glutamine amidotransferase type 2 domain	Alpha subunit of glutamate synthase, N-terminal domain {Synechocystis sp. [TaxId: 1143]}
Smp_128390.1	Sterile alpha motif domain	Polycomb protein Scm {Fruit fly (Drosophila melanogaster) [TaxId: 7227]}
Smp_128420.1	Btz domain	ATP-DEPENDENT RNA HELICASE DDX48, PROTEIN
Smp_128420.2	Btz domain	ATP-DEPENDENT RNA HELICASE DDX48, PROTEIN
Smp_128420.3	Btz domain	ATP-DEPENDENT RNA HELICASE DDX48, PROTEIN
Smp_128420.4	Btz domain	ATP-DEPENDENT RNA HELICASE DDX48, PROTEIN
Smp_128430.1	CD36 family	Platelet glycoprotein 4, PfEMP1 variant
Smp_128440.1	FYVE zinc finger	Eea1 {Human (Homo sapiens) [TaxId: 9606]}
Smp_128480.1	C2 domain	Protein kinase C beta type
Smp_128510.1	NA	NA
Smp_128520.1	NA	NA
Smp_128530.1	NA	NA
Smp_128560.1	Tetratricopeptide-like helical domain superfamily	STIP1 homology and U box-containing protein 1, STUB1 {Mouse (Mus musculus) [TaxId: 10090]}
Smp_128570.1	Mitochondrial substrate/solute carrier	ADP, ATP CARRIER PROTEIN 2
Smp_128600.1	SNF2-related, N-terminal domain	Histone H3.2, Histone H4, Histone
Smp_128600.2	SNF2-related, N-terminal domain	Histone H3.2, Histone H4, Histone
Smp_128610.1	Cytochrome c oxidase subunit IV family	Cytochrome c oxidase subunit 1
Smp_128630.1	NA	NA
Smp_128650.1	CS domain	NudC domain containing protein 3, NUDCD3 (KIAA1068) {Human (Homo sapiens) [TaxId: 9606]}
Smp_128660.1	Protein SZT2	NA
Smp_128660.2	Protein SZT2	NA
Smp_128680.1	Fungal lipase-like domain	Triacylglycerol lipase {Thermomyces lanuginosus, formerly Humicola lanuginosa [TaxId: 5541]}
Smp_128680.2	Fungal lipase-like domain	Triacylglycerol lipase {Thermomyces lanuginosus, formerly Humicola lanuginosa [TaxId: 5541]}
Smp_128690.1	Glycine dehydrogenase (decarboxylating)	Glycine dehydrogenase (decarboxylating), mitochondrial (E.C.1.4.4.2)
Smp_128690.2	Pyridoxal phosphate-dependent transferase, major domain	Glycine dehydrogenase (decarboxylating) subunit 1 {Thermus thermophilus [TaxId: 274]}
Smp_128690.3	Aromatic amino acid beta-eliminating lyase/threonine aldolase	Glycine dehydrogenase (decarboxylating), mitochondrial (E.C.1.4.4.2)
Smp_128690.4	Pyridoxal phosphate-dependent transferase, major domain	Glycine dehydrogenase (decarboxylating) subunit 1 {Thermus thermophilus [TaxId: 274]}
Smp_128690.5	Pyridoxal phosphate-dependent transferase, major domain	Glycine dehydrogenase (decarboxylating), mitochondrial (E.C.1.4.4.2)
Smp_128710.1	GPCR, rhodopsin-like, 7TM	Neurotensin receptor type 1, Neurotensin
Smp_128750.1	Immunoglobulin subtype 2	Down Syndrome Cell Adhesion Molecule
Smp_128750.2	Immunoglobulin subtype 2	Down Syndrome Cell Adhesion Molecule
Smp_128750.3	NA	NA
Smp_128760.1	NA	Prostaglandin E2 receptor EP3 subtype,Soluble
Smp_128770.1	Peptidase C19, ubiquitin carboxyl-terminal hydrolase	Ubiquitin carboxyl-terminal hydrolase 8 (E.C.3.1.2.15)
Smp_128790.1	Protein kinase domain	Abelsone tyrosine kinase (abl) {Mouse (Mus musculus) [TaxId: 10090]}
Smp_128810.1	GPI mannosyltransferase 1	Mannosyl_trans 
Smp_128810.2	GPI mannosyltransferase 1	Mannosyl_trans 
Smp_128820.1	NA	NA
Smp_128830.1	NA	NA
Smp_128840.1	S1 domain	DNA-DIRECTED RNA POLYMERASE II 16
Smp_128860.1	SRCR domain	Lysyl oxidase homolog 2 (E.C.1.4.3.13)
Smp_128870.1	BRCT domain	Recombination and DNA repair protein
Smp_128890.1	SNF2-related, N-terminal domain	Vacuolar protein sorting-associated protein 72
Smp_128910.1	NA	NA
Smp_128920.1	Actinin-type actin-binding domain, conserved site	actinin
Smp_128940.1	GPCR, family 3	Metabotropic glutamate receptor 5
Smp_128950.1	Sterile alpha motif domain	Ankyrin-1, Ankyrin-2
Smp_128950.2	Sterile alpha motif domain	Ankyrin-1, Ankyrin-2
Smp_128960.1	Transcription initiation factor TFIID subunit 2	TATA-BOX-BINDING PROTEIN, TRANSCRIPTION INITIATION FACTOR
Smp_128960.2	Peptidase M1, membrane alanine aminopeptidase	TATA-BOX-BINDING PROTEIN, TRANSCRIPTION INITIATION FACTOR
Smp_128960.3	Peptidase M1, membrane alanine aminopeptidase	TATA-BOX-BINDING PROTEIN, TRANSCRIPTION INITIATION FACTOR
Smp_128960.4	Peptidase M1, membrane alanine aminopeptidase	TAF1, Transcription initiation factor TFIID
Smp_128990.1	NA	COMPASS-Shg1 
Smp_129000.1	Ephrin receptor-binding domain	Ephrin 
Smp_129010.1	Immunoglobulin-like domain	Axonin-1 {Chicken (Gallus gallus) [TaxId: 9031]}
Smp_129020.1	Innexin	Innexin 
Smp_129020.2	Innexin	Innexin-6
Smp_129020.3	Innexin	Innexin 
Smp_129050.1	Dynamin central domain	DYNAMIN-1 (E.C.3.6.5.5)
Smp_129050.2	Dynamin central domain	DYNAMIN-1 (E.C.3.6.5.5)
Smp_129060.1	Major facilitator superfamily	Vesicular glutamate transporter 2
Smp_129070.1	Small GTPase	Ras-related protein RalA {Cotton-top tamarin (Saguinus oedipus) [TaxId: 9490]}
Smp_129080.1	ATP synthase, F0 complex, subunit G, mitochondrial	ATP-synt_G 
Smp_129090.1	NA	Osteocalcin {Pig (Sus scrofa) [TaxId: 9823]}
Smp_129100.1	NA	MIIP 
Smp_129100.2	NA	MIIP 
Smp_129100.3	NA	MIIP 
Smp_129110.1	Fanconi-associated nuclease 1-like	Fanconi-associated nuclease 1 (E.C.3.1.21.-, 3.1.4.1)
Smp_129110.2	Fanconi-associated nuclease 1-like	Fanconi-associated nuclease 1 (E.C.3.1.21.-, 3.1.4.1)
Smp_129110.3	tRNA endonuclease-like domain superfamily	Fanconi-associated nuclease 1 (E.C.3.1.21.-, 3.1.4.1)
Smp_129120.1	Leucine-rich repeat	BURRH
Smp_129120.2	Leucine-rich repeat	BURRH
Smp_129130.1	Helicase, C-terminal	ATP-dependent DNA helicase Q5 (E.C.3.6.4.12)
Smp_129130.2	Helicase, C-terminal	ATP-dependent DNA helicase Q5 (E.C.3.6.4.12)
Smp_129160.1	siRNA-mediated silencing protein NRDE-2	NRDE-2 
Smp_129210.1	Aminoacyl-tRNA synthetase, class Ic	Tyrosyl-tRNA synthetase, putative, Immunoglobulin heavy
Smp_129230.1	Serine proteases, trypsin domain	prophenoloxidase activating factor
Smp_129240.1	SBF1/SBF2 domain	SBF2 
Smp_129250.1	CRAL-TRIO lipid binding domain	Retinaldehyde-binding protein 1
Smp_129260.1	Zinc finger, PARP-type	Poly [ADP-ribose] polymerase 1
Smp_129290.1	NA	NA
Smp_129310.1	Inositol polyphosphate kinase	Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase
Smp_129310.2	Inositol polyphosphate kinase	Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase
Smp_129320.1	SANT/Myb domain	Pre-mRNA-processing-splicing factor 8, 116 kDa
Smp_129340.1	WD40 repeat	Platelet-activating factor acetylhydrolase IB subunit alpha {Mouse (Mus musculus) [TaxId: 10090]}
Smp_129360.1	Cyclin, N-terminal	Cell division protein kinase 4
Smp_129380.1	BTB/POZ domain	Voltage-gated potassium channel subunit beta-2
Smp_129410.1	NA	NUCLEAR PORE COMPLEX PROTEIN NUP155
Smp_129410.2	NA	NUCLEAR PORE COMPLEX PROTEIN NUP155
Smp_129410.3	NA	NUCLEAR PORE COMPLEX PROTEIN NUP155
Smp_129420.1	Ribosomal protein S11	Ribosomal protein S11 {Escherichia coli [TaxId: 562]}
Smp_129430.1	Transcription factor, MADS-box	Myocyte enhancer factor Mef2a core {Human (Homo sapiens) [TaxId: 9606]}
Smp_129450.1	Phosphatidic acid phosphatase type 2/haloperoxidase	Phosphatidylglycerophosphatase B (E.C.3.1.3.27)
Smp_129450.2	Phosphatidic acid phosphatase type 2/haloperoxidase	Phosphatidylglycerophosphatase B (E.C.3.1.3.27)
Smp_129450.3	Phosphatidic acid phosphatase type 2/haloperoxidase	Phosphatidylglycerophosphatase B (E.C.3.1.3.27, 3.1.3.81, 3.1.3.4
Smp_129450.4	Phosphatidic acid phosphatase type 2/haloperoxidase	Phosphatidylglycerophosphatase B (E.C.3.1.3.27, 3.1.3.81, 3.1.3.4
Smp_129500.1	RNA polymerase, alpha subunit	DNA-DIRECTED RNA POLYMERASES I, II
Smp_129510.1	Metallo-dependent phosphatase-like	Metallophosphoesterase MPPED2 (E.C.3.1.-.-)
Smp_129520.1	NA	DASH_Spc34 
Smp_129550.1	Golgin subfamily A	Macoilin 
Smp_129560.1	Zinc finger C2H2-type	DUF4764 
Smp_129580.1	Golgin subfamily A	GOLGA2L5 
Smp_129590.1	RNA polymerase II-associated protein 1, C-terminal	RPAP1_C 
Smp_129590.2	RNA polymerase II-associated protein 1, C-terminal	RPAP1_C 
Smp_129610.1	Malate/L-lactate dehydrogenase-like	L-sulfolactate dehydrogenase {Archaeon Methanococcus jannaschii [TaxId: 2190]}
Smp_129610.2	Malate/L-lactate dehydrogenase-like	Ureidoglycolate dehydrogenase AllD {Escherichia coli [TaxId: 562]}
Smp_129630.1	Pseudouridine synthase, TruD	Pseudouridylate synthase 7 (E.C.5.4.99.-)
Smp_129630.2	Pseudouridine synthase, TruD	Pseudouridylate synthase 7 (E.C.5.4.99.-)
Smp_129640.1	FERM domain	FERM, RhoGEF and pleckstrin domain
Smp_129640.2	FERM domain	FERM, RhoGEF and pleckstrin domain
Smp_129640.3	Pleckstrin homology domain	FERM, RhoGEF and pleckstrin domain-containing
Smp_129650.1	Aminoacyl-tRNA synthetase, class I, conserved site	ISOLEUCYL-TRNA SYNTHETASE (E.C.6.1.1.5)/TRNA COMPLEX
Smp_129670.1	SH3 domain	53BP2 {Human (Homo sapiens) [TaxId: 9606]}
Smp_129670.2	SH3 domain	53BP2 {Human (Homo sapiens) [TaxId: 9606]}
Smp_129670.3	SH3 domain	53BP2 {Human (Homo sapiens) [TaxId: 9606]}
Smp_129670.4	NA	NA
Smp_129700.1	Protein-tyrosine sulfotransferase	Protein-tyrosine sulfotransferase 1 (E.C.2.8.2.20), gastrin
Smp_129710.1	NA	Prelamin-A/C
Smp_129710.2	NA	Prelamin-A/C
Smp_129710.3	NA	Prelamin-A/C
Smp_129720.1	RNA recognition motif domain	Nuclear ribonucleoprotein A1 (RNP A1, UP1) {Human (Homo sapiens) [TaxId: 9606]}
Smp_129720.2	RNA recognition motif domain	Splicing factor U2AF 65 KDa subunit {Human (Homo sapiens) [TaxId: 9606]}
Smp_129750.1	Glycosyl transferase family 10	Glyco_transf_10 
Smp_129760.1	LSM domain, eukaryotic/archaea-type	U6 snRNA-associated sm-like protein LSM5 {Cryptosporidium parvum [TaxId: 5807]}
Smp_129770.1	Ankyrin repeat	KN motif and ankyrin repeat
Smp_129770.2	Ankyrin repeat	KN motif and ankyrin repeat
Smp_129810.1	G protein-coupled receptor, rhodopsin-like	OB-1 fused 5-HT1b receptor
Smp_129820.1	ABC transporter-like	bovine multidrug resistance protein 1
Smp_129830.1	Cadherin-like	Protocadherin-15
Smp_129840.1	NA	T-cell surface glycoprotein CD3 zeta
Smp_129860.1	NA	NA
Smp_129870.1	NA	JHY 
Smp_129900.1	Sodium	Na(+):neurotransmitter symporter homologue LeuT {Aquifex aeolicus [TaxId: 63363]}
Smp_129900.2	Sodium	Na(+):neurotransmitter symporter homologue LeuT {Aquifex aeolicus [TaxId: 63363]}
Smp_129900.3	Sodium	Na(+):neurotransmitter symporter homologue LeuT {Aquifex aeolicus [TaxId: 63363]}
Smp_129920.1	Sodium	Na(+):neurotransmitter symporter homologue LeuT {Aquifex aeolicus [TaxId: 63363]}
Smp_129950.1	RNA recognition motif domain	RNA-binding protein 12 {Mouse (Mus musculus) [TaxId: 10090]}
Smp_129960.1	NA	Probable ATP-dependent RNA helicase DDX6
Smp_129970.1	High mobility group box domain	High mobility group protein 1, HMG1 {Hamster (Cricetulus griseus) [TaxId: 10029]}
Smp_129980.1	Toll/interleukin-1 receptor homology (TIR) domain	Sterile alpha and TIR motif-containing
Smp_129980.2	Toll/interleukin-1 receptor homology (TIR) domain	Toll-like receptor 1, TLR1 {Human (Homo sapiens) [TaxId: 9606]}
Smp_129980.3	Toll/interleukin-1 receptor homology (TIR) domain	Toll-like receptor 1, TLR1 {Human (Homo sapiens) [TaxId: 9606]}
Smp_129990.1	VPS9 domain	Rab5 GDP/GTP exchange factor (Rabex-5) {Human (Homo sapiens), gamma isoform [TaxId: 9606]}
Smp_130000.1	Rab3-GAP regulatory subunit	RAB3GAP2_C 
Smp_130020.1	Cilia- and flagella-associated protein 157	DUF4515 
Smp_130020.2	Cilia- and flagella-associated protein 157	DUF4515 
Smp_130020.3	Cilia- and flagella-associated protein 157	De novo designed protein S-824
Smp_130030.1	FAM91, N-terminal domain	FAM91_C 
Smp_130050.1	Zinc finger, RING-type	brca1 RING domain {Human (Homo sapiens) [TaxId: 9606]}
Smp_130070.1	Immunoglobulin subtype 2	Macrophage colony-stimulating factor 1 receptor
Smp_130070.2	Immunoglobulin subtype 2	Macrophage colony-stimulating factor 1 receptor
Smp_130070.3	Immunoglobulin subtype 2	Macrophage colony-stimulating factor 1 receptor
Smp_130070.4	Immunoglobulin subtype 2	Macrophage colony-stimulating factor 1 receptor
Smp_130070.5	Immunoglobulin subtype 2	Macrophage colony-stimulating factor 1 receptor
Smp_130080.1	Ankyrin repeat	Pyk2-associated protein beta {Mouse (Mus musculus) [TaxId: 10090]}
Smp_130100.1	Saposin B type domain	Saposin-like protein 1
Smp_130110.1	Diacylglycerol kinase, catalytic domain	Diacylglycerol kinase DgkB {Staphylococcus aureus [TaxId: 1280]}
Smp_130110.2	NAD kinase/diacylglycerol kinase-like domain superfamily	Diacylglycerol kinase DgkB {Staphylococcus aureus [TaxId: 1280]}
Smp_130110.3	NAD kinase/diacylglycerol kinase-like domain superfamily	Sphingosine kinase 1 (E.C.2.7.1.91)
Smp_130160.1	Thrombospondin type-1 (TSP1) repeat	Semaphorin 4d {Human (Homo sapiens) [TaxId: 9606]}
Smp_130170.1	Ubiquitin domain	Rub1 {Mouse-ear cress (Arabidopsis thaliana) [TaxId: 3702]}
Smp_130180.1	LIS1 homology motif	Protein VPRBP (E.C.2.7.11.1)
Smp_130200.1	Nuclear hormone receptor, ligand-binding domain	Retinoic acid receptor RXR-alpha, Peroxisome
Smp_130220.1	NA	Pre-rRNA-processing protein IPI3, Pre-rRNA-processing protein
Smp_130230.1	Small GTPase	CDC42 {Human (Homo sapiens) [TaxId: 9606]}
Smp_130250.1	Protein kinase domain	Cyclin-dependent PK, CDK6 {Human (Homo sapiens) [TaxId: 9606]}
Smp_130260.1	Calponin homology domain	Fimbrin (Plastin), actin-crosslinking domain {Human (Homo sapiens) [TaxId: 9606]}
Smp_130270.1	U11/U12 small nuclear ribonucleoprotein 48kDa protein	U11/U12 small nuclear ribonucleoprotein 48 kDa protein, U11-48K {Human (Homo sapiens) [TaxId: 9606]}
Smp_130270.2	U11/U12 small nuclear ribonucleoprotein 48kDa protein	U11/U12 small nuclear ribonucleoprotein 48 kDa protein, U11-48K {Human (Homo sapiens) [TaxId: 9606]}
Smp_130270.3	NA	TAF1, Transcription initiation factor TFIID
Smp_130280.1	EGF-like domain	Neurexin-1-alpha
Smp_130280.2	WD40 repeat	Platelet-activating factor acetylhydrolase IB subunit alpha {Mouse (Mus musculus) [TaxId: 10090]}
Smp_130280.3	EGF-like domain	Neurexin-1-alpha
Smp_130300.1	P-type ATPase	Na, K-ATPase alpha subunit, Na+,K+-ATPase
Smp_130330.1	NA	NA
Smp_130340.1	Phosphatidylinositol 3-/4-kinase, catalytic domain	Phosphatidylinositol 4-kinase III beta
Smp_130370.1	ELO family	Elongation of very long chain
Smp_130410.1	Dynein 1 light intermediate chain	DLIC 
Smp_130430.1	Transcription initiation factor TFIID, 23-30kDa subunit	Transcription factor SPT20, Protein SPT3
Smp_130440.1	Zinc finger, LIM-type	49 protein
Smp_130450.1	K Homology domain	Syncrip, isoform K
Smp_130450.2	K Homology domain	Syncrip, isoform K
Smp_130460.1	Conserved oligomeric Golgi complex, subunit 3	Sec34 
Smp_130460.2	Conserved oligomeric Golgi complex, subunit 3	Sec34 
Smp_130460.3	Conserved oligomeric Golgi complex, subunit 3	NA
Smp_130470.1	SNF2-related, N-terminal domain	Histone H3.3C, Histone H4, Histone
Smp_130470.2	SNF2-related, N-terminal domain	Histone H3.3C, Histone H4, Histone
Smp_130480.1	Rab-GTPase-TBC domain	Shark TBC1D15 GTPase-activating Protein
Smp_130480.2	Rab-GTPase-TBC domain	Shark TBC1D15 GTPase-activating Protein
Smp_130480.3	Rab-GTPase-TBC domain	Shark TBC1D15 GTPase-activating Protein
Smp_130490.1	Ribosomal protein L55, mitochondrial	Mitochondrial ribosomal protein L27, Mitochondrial
Smp_130500.1	NA	NA
Smp_130520.1	Prominin	Prominin 
Smp_130520.2	Prominin	Prominin 
Smp_130520.3	Prominin	Prominin 
Smp_130520.4	Prominin	Prominin 
Smp_130540.1	Aminotransferase, class I/classII	Alanine aminotransferase 2 (E.C.2.6.1.2)
Smp_130540.2	Aminotransferase, class I/classII	Alanine aminotransferase 2 (E.C.2.6.1.2)
Smp_130540.3	Aminotransferase, class I/classII	Alanine aminotransferase 2 (E.C.2.6.1.2)
Smp_130540.4	Pyridoxal phosphate-dependent transferase, major domain	Alanine aminotransferase 2 (E.C.2.6.1.2)
Smp_130580.1	PTB/PI domain	Disabled homolog 1 (Dab1) {Mouse (Mus musculus) [TaxId: 10090]}
Smp_130590.1	FERM domain	E3 ubiquitin-protein ligase MYLIP (E.C.2.3.2.27)
Smp_130590.2	FERM domain	E3 ubiquitin-protein ligase MYLIP (E.C.2.3.2.27)
